District ,Mandal,GP,female,male,transgender
ADILABAD,JAINAD,KAMAI,118,53,
ADILABAD,JAINAD,KAMTA,333,206,1
ADILABAD,JAINAD,KANPAMEDIGUDA,535,309,1
ADILABAD,JAINAD,KARANJI,311,227,2
ADILABAD,JAINAD,KHAPRI,336,199,3
ADILABAD,JAINAD,KORTA,229,119,2
ADILABAD,JAINAD,KOWTHA,299,182,2
ADILABAD,JAINAD,KURA,291,172,1
ADILABAD,JAINAD,LAXMIPUR,411,235,3
ADILABAD,JAINAD,MANDAGADA,249,155,2
ADILABAD,JAINAD,MANGURLA,327,208,
ADILABAD,JAINAD,NIRALA,305,180,
ADILABAD,JAINAD,PARDI B,220,110,
ADILABAD,JAINAD,PENDALWADA,499,276,1
ADILABAD,JAINAD,PIPPARAWADA,457,292,2
ADILABAD,JAINAD,SANGVI(K),325,196,1
ADILABAD,JAINAD,SAWAPOOR,369,198,
ADILABAD,JAINAD,TARODA B,308,165,1
ADILABAD,KADDAM (PEDDUR),ALLAMPALLY,525,363,
ADILABAD,KADDAM (PEDDUR),AMBARIPET,345,197,
ADILABAD,KADDAM (PEDDUR),BELLAL,962,596,3
ADILABAD,KADDAM (PEDDUR),BHUTHKUR,373,270,2
ADILABAD,KADDAM (PEDDUR),BHUTTAPUR,731,472,3
ADILABAD,KADDAM (PEDDUR),CHITTIAL,533,370,1
ADILABAD,KADDAM (PEDDUR),DASTURABAD,1238,764,
ADILABAD,KADDAM (PEDDUR),DHARMAJIPET,427,283,1
ADILABAD,KADDAM (PEDDUR),GANGAPUR,560,404,2
ADILABAD,KADDAM (PEDDUR),GONDSERIAL,506,381,1
ADILABAD,KADDAM (PEDDUR),KALLEDA,253,157,
ADILABAD,KADDAM (PEDDUR),KANNAPUR,365,227,
ADILABAD,KADDAM (PEDDUR),KONDKURU,474,297,
ADILABAD,KADDAM (PEDDUR),LINGAPUR,1232,748,
ADILABAD,KADDAM (PEDDUR),MADDIPADGA,530,302,
ADILABAD,KADDAM (PEDDUR),MASAIPET,318,181,
ADILABAD,KADDAM (PEDDUR),MUNNIAL,785,525,1
ADILABAD,KADDAM (PEDDUR),NACHAN YELLAPUR,257,189,
ADILABAD,KADDAM (PEDDUR),NAWABPET,286,190,
ADILABAD,KADDAM (PEDDUR),PEDDUR,673,400,
ADILABAD,KADDAM (PEDDUR),RAVOJIPET,452,278,1
ADILABAD,KADDAM (PEDDUR),SINGAPUR,245,178,
ADILABAD,KADDAM (PEDDUR),UDUMPUR,726,504,3
ADILABAD,KADDAM (PEDDUR),YELAGADAPA,413,224,
ADILABAD,KHANAPUR,BADANKURTHY,631,378,
ADILABAD,KHANAPUR,BAVAPUR (K),386,203,4
ADILABAD,KHANAPUR,BEERNANDI,764,477,
ADILABAD,KHANAPUR,DILAWARPUR,411,204,
ADILABAD,KHANAPUR,ERVACHINTAL,495,331,3
ADILABAD,KHANAPUR,ITIKYAL,494,327,
ADILABAD,KHANAPUR,KHANAPUR,3588,1758,12
ADILABAD,KHANAPUR,MANDAPALLE,818,570,2
ADILABAD,KHANAPUR,MASKAPUR,635,336,1
ADILABAD,KHANAPUR,PASPULA,559,357,2
ADILABAD,KHANAPUR,PATHAYELLAPUR,1267,748,
ADILABAD,KHANAPUR,PEMBI,718,389,2
ADILABAD,KHANAPUR,RAJURA,906,597,
ADILABAD,KHANAPUR,SATHANAPALE,560,306,
ADILABAD,KHANAPUR,SHETPALLI,614,450,2
ADILABAD,KHANAPUR,SURJAPUR,696,393,2
ADILABAD,KHANAPUR,TARLAPAD,421,240,
ADILABAD,KHANAPUR,VENKAMPOCHAMPAD,693,488,2
ADILABAD,KUBEER,BELGAON,573,395,2
ADILABAD,KUBEER,CHATA,827,488,
ADILABAD,KUBEER,CHONDI,698,408,
ADILABAD,KUBEER,DODARNA,851,534,3
ADILABAD,KUBEER,GODAPUR,229,127,1
ADILABAD,KUBEER,GODSERA,374,243,2
ADILABAD,KUBEER,HALDA,362,252,5
ADILABAD,KUBEER,KUBEER,1553,929,1
ADILABAD,KUBEER,KUPTI,259,175,
ADILABAD,KUBEER,MALEGAON,22,12,
ADILABAD,KUBEER,MALEGON,508,279,1
ADILABAD,KUBEER,MARLAGONDA,642,413,1
ADILABAD,KUBEER,NIGHWA,743,370,1
ADILABAD,KUBEER,PALSI,1159,618,1
ADILABAD,KUBEER,PANGRA,205,105,
ADILABAD,KUBEER,PARDI (B),813,508,1
ADILABAD,KUBEER,PARDI KHURD,517,284,2
ADILABAD,KUBEER,RANJANI,442,301,
ADILABAD,KUBEER,SAWNLI,670,359,1
ADILABAD,KUBEER,SIRPALLE,530,368,
ADILABAD,KUBEER,SONARI,392,195,
ADILABAD,KUNTALA,AMBHAKANTI,707,408,
ADILABAD,KUNTALA,ANDKUR,417,251,1
ADILABAD,KUNTALA,CHAKEPALLY,788,453,3
ADILABAD,KUNTALA,DOWNELLY,462,298,
ADILABAD,KUNTALA,GULMADAGA,1638,967,
ADILABAD,KUNTALA,KALLUR,537,252,
ADILABAD,KUNTALA,KUNTALA,1187,654,
ADILABAD,KUNTALA,LIMBA (K),597,325,
ADILABAD,KUNTALA,LIMBA(B),342,194,
ADILABAD,KUNTALA,NANDAN,429,233,
ADILABAD,KUNTALA,OLA,805,494,1
ADILABAD,KUNTALA,PENCHKALPAHAD,249,114,
ADILABAD,KUNTALA,SURYAPUR,541,321,1
ADILABAD,KUNTALA,TURATI,285,126,3
ADILABAD,KUNTALA,VITTAPUR,336,199,1
ADILABAD,LAXMANCHANDA,BABAPUR,452,280,1
ADILABAD,LAXMANCHANDA,BOREGAON,339,180,
ADILABAD,LAXMANCHANDA,CHAMANPALLE,495,285,3
ADILABAD,LAXMANCHANDA,CHINTALCHANDA,396,251,2
ADILABAD,LAXMANCHANDA,DHARMARAM,251,160,
ADILABAD,LAXMANCHANDA,KANKAPUR,389,241,
ADILABAD,LAXMANCHANDA,KUCHANPALLE,536,338,
ADILABAD,LAXMANCHANDA,LAXMANCHANDA,1601,1001,5
ADILABAD,LAXMANCHANDA,MALLAPUR,602,401,1
ADILABAD,LAXMANCHANDA,MUNIPALLE,390,234,1
ADILABAD,LAXMANCHANDA,NARSAPUR(W),423,244,1
ADILABAD,LAXMANCHANDA,NEW BOPPARAM,496,275,
ADILABAD,LAXMANCHANDA,NEWVELMAL,551,305,1
ADILABAD,LAXMANCHANDA,PARPALLY,818,524,2
ADILABAD,LAXMANCHANDA,PEECHARA,649,401,
ADILABAD,LAXMANCHANDA,RACHAPUR,847,488,4
ADILABAD,LAXMANCHANDA,WADDYAL,829,433,
ADILABAD,LOKESWARAM,DHARMARA,381,214,1
ADILABAD,LOKESWARAM,GADCHANDA,900,498,4
ADILABAD,LOKESWARAM,HADGAON,411,294,2
ADILABAD,LOKESWARAM,HAWARGA,505,281,
ADILABAD,LOKESWARAM,JOHARPUR,1328,827,5
ADILABAD,LOKESWARAM,KANKAPUR,452,290,
ADILABAD,LOKESWARAM,LOHESRA,1057,675,2
ADILABAD,LOKESWARAM,MANMAD,636,325,
ADILABAD,LOKESWARAM,NAGAR,580,325,1
ADILABAD,LOKESWARAM,NEW RAIPUR (K),569,317,2
ADILABAD,LOKESWARAM,PANCHGUDI,451,212,
ADILABAD,LOKESWARAM,PIPRI,483,264,1
ADILABAD,LOKESWARAM,POTPALLE (B),359,202,
ADILABAD,LOKESWARAM,PUSPUR,1201,695,
ADILABAD,LOKESWARAM,RAJURA,798,515,1
ADILABAD,MAMDA,ANANTHPET,381,216,
ADILABAD,MAMDA,DIMMADURTHY,550,344,
ADILABAD,MAMDA,GAYADPALLE,412,296,
ADILABAD,MAMDA,KAMALKOT,566,331,
ADILABAD,MAMDA,KISHANRAOPET,424,314,
ADILABAD,MAMDA,KORATIKAL,1111,669,2
ADILABAD,MAMDA,MAMDA,1492,948,
ADILABAD,MAMDA,NALDURTHY,381,253,1
ADILABAD,MAMDA,NEW SANGVI,490,296,1
ADILABAD,MAMDA,PARIMANDAL,910,588,5
ADILABAD,MAMDA,PONKAL,1455,885,3
ADILABAD,MAMDA,POTHARAM,491,268,2
ADILABAD,MAMDA,TANDRA,473,321,1
ADILABAD,MUDHOLE,ASHTA,699,382,
ADILABAD,MUDHOLE,BASAR,1939,1187,3
ADILABAD,MUDHOLE,BIDRALLI,597,369,3
ADILABAD,MUDHOLE,BOREGAON,650,371,2
ADILABAD,MUDHOLE,BRAHMANGAON,360,212,
ADILABAD,MUDHOLE,CHINCHALA,485,248,
ADILABAD,MUDHOLE,CHINTAKUNTA,488,328,
ADILABAD,MUDHOLE,EDBID,959,538,2
ADILABAD,MUDHOLE,GANORA,379,245,
ADILABAD,MUDHOLE,KAREGAON,250,167,
ADILABAD,MUDHOLE,KIRGUL (B),639,405,1
ADILABAD,MUDHOLE,KOWTHA,237,128,
ADILABAD,MUDHOLE,LABDI,285,178,1
ADILABAD,MUDHOLE,MUDGAL,476,307,1
